"job_country","job_count"
"United States","143043"
"India","35559"
"France","34603"
"United Kingdom","28481"
"Germany","20640"
"Spain","19484"
"Singapore","17777"
"Netherlands","16508"
"Italy","14886"
"Sudan","14055"
"Portugal","11681"
"Mexico","11568"
"Belgium","10809"
"Canada","10606"
"Poland","10276"
"Philippines","9868"
"South Africa","9784"
"Australia","8550"
"Switzerland","8154"
"Ireland","7315"
"Austria","7299"
"Malaysia","6828"
"Chile","6445"
"Argentina","6193"
"United Arab Emirates","5959"
"Colombia","5567"
"Hong Kong","5560"
"Denmark","5212"
"Sweden","4805"
"Brazil","4742"
"Costa Rica","4720"
"Peru","4534"
"Czechia","3621"
"Thailand","3315"
"Israel","3258"
"Russia","3103"
"Romania","2864"
"Saudi Arabia","2612"
"Indonesia","2430"
"Egypt","1898"
"Luxembourg","1869"
"Hungary","1825"
"China","1784"
"Finland","1775"
"Vietnam","1727"
"Japan","1640"
"New Zealand","1621"
"Greece","1539"
"Pakistan","1487"
"Ukraine","1426"
"Kenya","1324"
"South Korea","1315"
"Norway","1264"
"Puerto Rico","1201"
"Taiwan","1168"
"Qatar","1104"
"Lithuania","1080"
"Morocco","977"
"Turkey","970"
"Uruguay","946"
"Panama","925"
"Bulgaria","892"
"Nigeria","869"
"Serbia","743"
"Slovakia","720"
"Jordan","674"
"Kuwait","627"
"Cyprus","618"
"Malta","599"
"Tunisia","572"
"Ecuador","538"
"Belarus","471"
"Sri Lanka","452"
"Kazakhstan","433"
"Dominican Republic","396"
"Estonia","393"
"Lebanon","369"
"Bahrain","303"
"Namibia","289"
"Latvia","289"
"Croatia","281"
"Uganda","258"
"Guatemala","246"
"Nepal","221"
"Bangladesh","220"
"Uzbekistan","211"
"Ghana","209"
"Mauritius","203"
"Moldova","196"
"Guam","170"
"Oman","161"
"Armenia","154"
"Slovenia","154"
"Jamaica","146"
"U.S. Virgin Islands","134"
"El Salvador","111"
"Macedonia (FYROM)","100"
"Iraq","99"
"Algeria","97"
"Senegal","96"
"Albania","91"
"Zambia","90"
"Nicaragua","82"
"Ethiopia","82"
"Azerbaijan","68"
"Zimbabwe","65"
"Honduras","64"
"Réunion","55"
"Trinidad and Tobago","53"
"Venezuela","52"
"Cambodia","52"
"Rwanda","49"
"Côte d'Ivoire","45"
"Paraguay","43"
"Kyrgyzstan","43"
"Iceland","38"
"Myanmar","38"
"Bolivia","37"
"Libya","37"
"Liberia","36"
"Tanzania","35"
"Bahamas","34"
"Mongolia","34"
"Congo, Democratic Republic of the","33"
"Benin","33"
"Bosnia and Herzegovina","32"
"","27"
"Montenegro","24"
"Malawi","21"
"Botswana","21"
"Suriname","20"
"Mozambique","20"
"Cameroon","19"
"Haiti","18"
"Barbados","17"
"Afghanistan","16"
"Togo","13"
"Cayman Islands","12"
"Madagascar","12"
"Tajikistan","12"
"Palestine","11"
"Somalia","11"
"Fiji","11"
"Yemen","11"
"Burkina Faso","10"
"Angola","10"
"Mali","9"
"Brunei","8"
"Laos","7"
"Guyana","6"
"Djibouti","5"
"Papua New Guinea","5"
"Guadeloupe","5"
"Guinea","5"
"Gambia","4"
"Northern Mariana Islands","4"
"Mauritania","4"
"Lesotho","2"
"Bhutan","2"
"Maldives","1"
"Curaçao","1"
